Fecha;Hora;ax;ay;az;gx;gy;gz;;
8/2/2019;0,65;-136;5764;-16448;2306;3337;-4213;;
8/2/2019;0,65;1104;6224;-17004;2277;-633;-6434;;
8/2/2019;0,65;-1060;3652;-16628;13392;-2583;-8512;;
8/2/2019;0,65;1908;2440;-19440;9839;8253;-8720;;
8/2/2019;0,65;3492;2388;-19760;-1823;1391;-10759;;
8/2/2019;0,65;2792;2156;-18548;-1990;1265;-3550;;
8/2/2019;0,65;2996;2428;-18512;1353;2699;-3654;;
8/2/2019;0,65;3536;1500;-17988;2964;411;-1422;;
8/2/2019;0,65;3516;1068;-17896;3437;137;459;;
8/2/2019;0,65;3780;700;-19152;-1424;-1920;600;;
8/2/2019;0,65;3224;684;-18472;348;-901;275;;
8/2/2019;0,65;3588;800;-18488;-389;-878;-46;;
8/2/2019;0,65;3544;692;-18060;-120;-84;5;;
8/2/2019;0,65;3344;724;-18136;-622;-868;-191;;
8/2/2019;0,65;3676;1380;-18428;-1445;754;-1290;;
8/2/2019;0,65;3764;1212;-18592;581;-372;234;;
8/2/2019;0,65;3416;720;-18060;222;-836;466;;
8/2/2019;0,65;3176;808;-18332;-250;-197;214;;
8/2/2019;0,65;3320;716;-18200;-47;336;47;;
8/2/2019;0,65;3384;860;-18376;-86;233;212;;
8/2/2019;0,65;3172;752;-18072;-673;-192;138;;
8/2/2019;0,65;2452;1096;-17432;-546;-931;889;;
8/2/2019;0,65;2204;116;-18680;-3964;-6451;9093;;
8/2/2019;0,65;1900;1272;-18456;-2747;-6324;10989;;
8/2/2019;0,65;192;1868;-18140;-2469;-4352;10985;;
8/2/2019;0,65;-420;1340;-18108;-1649;-4564;16014;;
8/2/2019;0,65;992;4868;-19532;-18463;1737;14084;;
8/2/2019;0,65;1256;6096;-17448;-4903;4011;10908;;
8/2/2019;0,65;3756;5348;-16332;13;1401;3347;;
8/2/2019;0,65;4500;5328;-17464;-1106;1757;-1438;;
8/2/2019;0,65;4344;5960;-17180;-952;4548;-6530;;
8/2/2019;0,65;3772;5520;-15804;5961;7802;-12491;;
8/2/2019;0,65;3416;6128;-16836;1700;3674;-11767;;
8/2/2019;0,65;2400;4804;-16588;7368;5036;-10502;;
8/2/2019;0,65;1924;4788;-16520;6486;4778;-8643;;
8/2/2019;0,65;3128;3852;-17936;10099;7111;-10470;;
8/2/2019;0,65;3956;4356;-18372;5999;3737;-2499;;
8/2/2019;0,65;4836;1676;-18260;2365;731;-176;;
8/2/2019;0,65;3736;2060;-18264;-826;-2709;1365;;
8/2/2019;0,65;2904;1660;-18036;-1878;-574;475;;
8/2/2019;0,65;3696;1324;-18260;1278;-118;1319;;
8/2/2019;0,65;3636;1736;-18212;63;-708;453;;
8/2/2019;0,65;3920;1604;-18312;-1530;950;284;;
8/2/2019;0,65;4096;1884;-18364;-1540;-615;221;;
8/2/2019;0,65;3672;2308;-18400;-815;-576;10;;
8/2/2019;0,65;3396;2408;-18256;-319;-274;171;;
8/2/2019;0,65;3624;2072;-17848;749;-8;281;;
8/2/2019;0,65;3424;1940;-18100;47;-4;249;;
8/2/2019;0,65;3532;2304;-18316;-1373;-93;215;;
8/2/2019;0,65;3624;2280;-17788;-41;-380;62;;
8/2/2019;0,65;3636;1896;-17972;-232;-336;-84;;
8/2/2019;0,65;3140;1824;-18080;74;-952;-496;;
8/2/2019;0,65;3172;1948;-18284;-379;-1580;532;;
8/2/2019;0,65;1564;1736;-17896;-85;-7075;4252;;
8/2/2019;0,65;1560;2808;-18628;3;-8527;7812;;
8/2/2019;0,65;376;1360;-18604;268;-4201;13781;;
8/2/2019;0,65;-1368;3112;-18552;-3683;-4002;15677;;
8/2/2019;0,65;-2508;2608;-18516;-5391;-1357;11116;;
8/2/2019;0,65;860;3452;-17732;402;-622;4614;;
8/2/2019;0,65;1588;3980;-19056;-874;-541;1553;;
8/2/2019;0,65;904;3908;-18328;-144;932;626;;
8/2/2019;0,65;1480;4292;-18064;-1484;-23;-2153;;
8/2/2019;0,65;1620;4752;-17464;-1211;3862;-7823;;
8/2/2019;0,65;916;5116;-18748;4765;3060;-9851;;
8/2/2019;0,65;2236;3420;-18040;1464;3753;-9942;;
8/2/2019;0,65;2864;2616;-18180;3007;7710;-12095;;
8/2/2019;0,65;3272;2460;-18344;5567;5753;-11193;;
8/2/2019;0,65;3496;2024;-17888;1428;2175;-4456;;
8/2/2019;0,65;2704;2360;-18008;816;-759;-2055;;
8/2/2019;0,65;3868;1980;-18116;1224;638;-149;;
8/2/2019;0,65;3800;1996;-18096;-129;-896;-1056;;
8/2/2019;0,65;2872;2192;-17844;-64;271;286;;
8/2/2019;0,65;3300;1964;-18172;33;-318;-456;;
8/2/2019;0,65;3604;1884;-18392;-157;590;-236;;
8/2/2019;0,65;3052;2124;-17908;54;-59;-746;;
8/2/2019;0,65;3236;1392;-17468;504;1110;1215;;
8/2/2019;0,65;3372;1816;-18420;-542;-1122;132;;
8/2/2019;0,65;3752;1848;-18576;379;-376;130;;
8/2/2019;0,65;3724;1540;-18300;207;-1329;-982;;
8/2/2019;0,65;3024;1716;-18180;-1175;-1484;366;;
8/2/2019;0,65;2324;1132;-18260;-1258;-6361;5346;;
8/2/2019;0,65;1388;1844;-19080;-1721;-10126;17850;;
8/2/2019;0,65;-544;4984;-19996;-10630;-7160;20435;;
8/2/2019;0,65;2064;3700;-17396;-6017;-1078;7097;;
8/2/2019;0,65;2112;5960;-17996;791;1920;998;;
8/2/2019;0,65;3116;6268;-18088;-171;5134;-3276;;
8/2/2019;0,65;3464;4248;-16732;7733;6857;-15333;;
8/2/2019;0,65;3236;2912;-16948;4648;8985;-17502;;
8/2/2019;0,65;3524;3064;-18276;6401;250;-8911;;
8/2/2019;0,65;3368;3880;-18000;-360;-2152;-3066;;
8/2/2019;0,65;4044;3908;-18000;-466;-1070;-2015;;
8/2/2019;0,65;3968;3708;-17748;-305;572;-565;;
8/2/2019;0,65;4272;3452;-17576;198;-729;158;;
8/2/2019;0,65;4228;3660;-17716;205;-132;245;;
8/2/2019;0,65;3972;3708;-17956;-170;447;-580;;
8/2/2019;0,65;3900;3512;-17904;654;-117;185;;
8/2/2019;0,65;3688;3240;-17808;-348;-548;-38;;
8/2/2019;0,65;4108;3296;-17624;-255;-911;153;;
8/2/2019;0,65;3980;3360;-17880;-132;-354;197;;
8/2/2019;0,65;3964;3484;-17748;-260;-684;270;;
8/2/2019;0,65;4156;3456;-17756;-150;-644;184;;
8/2/2019;0,65;4040;3204;-17776;71;78;-237;;
8/2/2019;0,65;4160;2952;-17852;263;-103;-455;;
8/2/2019;0,65;3764;3400;-17504;307;-473;-308;;
8/2/2019;0,65;-288;4024;-16232;-3335;-9757;9037;;
8/2/2019;0,65;1892;12208;-20496;-19797;10735;32767;;
8/2/2019;0,65;4412;6124;-16924;-2131;3400;7806;;
8/2/2019;0,65;6804;4732;-16976;8011;8062;-10816;;
8/2/2019;0,65;2348;2988;-18700;16315;6950;-23390;;
8/2/2019;0,65;2712;2564;-18320;2660;-2296;-7810;;
8/2/2019;0,65;2848;1608;-18172;2397;-211;-2630;;
8/2/2019;0,65;2964;1636;-18612;-1720;-1077;-245;;
8/2/2019;0,65;3228;1324;-18652;-100;2048;86;;
8/2/2019;0,65;3400;2264;-18224;-203;59;-216;;
8/2/2019;0,65;3728;1664;-17960;-270;528;-498;;
8/2/2019;0,65;3348;1808;-18264;11;-152;-805;;
8/2/2019;0,65;3408;1916;-18508;283;-354;-891;;
8/2/2019;0,65;2888;1624;-18192;-236;-993;399;;
8/2/2019;0,65;3284;1920;-18360;277;-933;-333;;
8/2/2019;0,65;3264;1556;-18232;417;329;-1144;;
8/2/2019;0,65;3152;1692;-18180;14;-194;-786;;
8/2/2019;0,65;3268;1592;-18884;-52;158;195;;
8/2/2019;0,65;2624;1192;-18172;480;-1248;2535;;
8/2/2019;0,65;2356;1960;-18520;-3339;-10106;3837;;
8/2/2019;0,65;1144;1448;-19024;-913;-3349;13791;;
8/2/2019;0,65;64;4420;-19820;-7876;-4803;17582;;
8/2/2019;0,65;-256;3216;-16472;-8799;-2375;10680;;
8/2/2019;0,65;3232;4660;-18468;-2203;-1812;5001;;
8/2/2019;0,65;3124;5076;-18264;65;-720;-428;;
8/2/2019;0,65;2500;6032;-18444;-120;210;-931;;
8/2/2019;0,65;3104;5340;-16636;159;3936;-5164;;
8/2/2019;0,65;1220;4604;-16516;1495;6372;-6994;;
8/2/2019;0,65;664;5116;-16992;2487;11801;-6222;;
8/2/2019;0,65;2464;5044;-16940;1815;4852;-9095;;
8/2/2019;0,65;3652;5768;-17700;3212;-594;-6292;;
8/2/2019;0,65;4120;4704;-18044;6699;473;-3977;;
8/2/2019;0,65;5056;3272;-17960;7774;1132;-3441;;
8/2/2019;0,65;4224;2112;-18164;-562;-1187;-1638;;
8/2/2019;0,65;4732;2484;-18392;-975;616;-897;;
8/2/2019;0,65;4788;3104;-17744;343;1204;-1277;;
8/2/2019;0,65;4976;2168;-17544;-782;367;-1010;;
8/2/2019;0,65;5068;2372;-17636;413;-719;78;;
