Fecha;Hora;ax;ay;az;gx;gy;gz;;
8/2/2019;0,66;3144;3076;-18080;-44;-14;-5;;
8/2/2019;0,66;3124;3012;-17984;-278;-437;-152;;
8/2/2019;0,66;3208;2828;-17916;-483;-634;191;;
8/2/2019;0,66;3468;3096;-18256;248;-440;133;;
8/2/2019;0,66;3152;3156;-18332;-41;-89;169;;
8/2/2019;0,66;3220;2768;-18052;-447;-513;-73;;
8/2/2019;0,66;3156;2888;-17808;-181;-273;265;;
8/2/2019;0,66;2936;2764;-17820;24;-1522;2042;;
8/2/2019;0,66;804;1976;-17872;-939;-7379;8220;;
8/2/2019;0,66;700;1704;-18480;-5325;-6081;23515;;
8/2/2019;0,66;2004;3732;-17760;-7382;-3736;8275;;
8/2/2019;0,66;2552;4524;-17492;-2020;1029;4095;;
8/2/2019;0,66;3580;5504;-17452;-891;2954;2998;;
8/2/2019;0,66;3112;4924;-16456;-967;-784;441;;
8/2/2019;0,66;2972;5856;-16768;-19;465;-342;;
8/2/2019;0,66;4572;6584;-17236;-576;2390;-1933;;
8/2/2019;0,66;4876;5056;-16480;5738;7233;-7234;;
8/2/2019;0,66;3756;5752;-17508;5461;9203;-14199;;
8/2/2019;0,66;3524;3464;-16976;7456;5886;-13372;;
8/2/2019;0,66;3104;4048;-17512;335;-893;-1461;;
8/2/2019;0,66;4176;3316;-17808;1547;-577;-156;;
8/2/2019;0,66;4340;3060;-17716;-375;-679;427;;
8/2/2019;0,66;4692;3412;-17632;-533;6;524;;
8/2/2019;0,66;4812;3352;-17704;-71;-885;491;;
8/2/2019;0,66;4400;3400;-17412;-794;-257;373;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
